c1cc(c(cc1C(=O)CSc2[nH]c3ccc(cc3n2)Br)S(=O)(=O)N)Cl  3M96_E38
Cc1cc(nc(n1)SCC(=O)c2ccc(c(c2)S(=O)(=O)N)Cl)C  3S9T_E49
CCc1cnc(nc1)SCC(=O)c2ccc(c(c2)S(=O)(=O)N)Cl  3SAX_E50
CC1=CC(=O)NC(=N1)SCC(=O)c2ccc(cc2)S(=O)(=O)N  3S8X_E59
Cc1cc(nc(n1)SCC(=O)c2ccc(cc2)S(=O)(=O)N)C  3SBH_E65
c1cnc(nc1)SCC(=O)c2ccc(cc2)S(=O)(=O)N  3SBI_E90
c1cc(ccc1C(=O)NCCOCCOCCNC(=O)CN)S(=O)(=O)N  1CNW_EG1
c1cc(ccc1C(=O)NCCOCCOCCN)S(=O)(=O)N  1CNX_EG2
c1ccc(cc1)C[C@@H](C(=O)NCCOCCOCCNC(=O)c2ccc(cc2)S(=O)(=O)N)N  1CNY_EG3
CCCCNC(=O)c1cc(c(cc1Cl)Cl)S(=O)(=O)N  6G6T_ENN
c1nc2c(nc(nc2n1[C@H]3[C@@H]([C@@H]([C@H](O3)COS(=O)(=O)N)O)O)Cl)N  6C7X_EO7
CCN[C@H]1C[C@@H](S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)C  1CIL_ETS
c1ccc2c(c1)nc(s2)S(=O)(=O)N  5JGS_EVF
CC1=CC(=O)NC(=N1)SCC(=O)c2ccc(c(c2)Cl)S(=O)(=O)N  4QSA_EWW
CC1=CC(=O)NC(=N1)SCC(=O)c2cccc(c2)S(=O)(=O)N  4QSB_EWY
CC(C)(C)C1=CC(=O)NC(=N1)SCC(=O)c2ccc(c(c2)S(=O)(=O)N)Cl  4QSI_EWZ
C=CC[Se]c1ccc(cc1)S(=O)(=O)N  6CEH_EZ1
CCOc1ccc2c(c1)sc(n2)S(=O)(=O)N  6QL2_EZL
c1cc(c(c(c1)F)F)CNC(=O)c2ccc(cc2)S(=O)(=O)N  1G52_F2B
c1cc(c(c(c1)F)CNC(=O)c2ccc(cc2)S(=O)(=O)N)F  1G48_F6B
c1ccc(cc1)CCSc2ccc(cc2)S(=O)(=O)N  6GOT_F6W
c1ccc(c(c1)S(=O)(=O)N)Cl  2WEH_FB1
c1ccc(cc1)S(=O)(=O)N  4YX4_FB2
c1ccc(c(c1)F)S(=O)(=O)N  2WEG_FBV
c1cc(cc(c1)S(=O)(=O)N)F  2WEO_FBW
c1cc(ccc1C(=O)NCc2c(c(c(c(c2F)F)F)F)F)S(=O)(=O)N  1G4J_FFB
c1ccc(cc1)COC(=O)N  6H29_FK8
c1ccc(cc1)C2CCN(CC2)C(=O)c3ccc(cc3)S(=O)(=O)N  6H2Z_FKE
c1cc(ccc1CN2CCN(CC2)C(=O)c3ccc(cc3)S(=O)(=O)N)F  6H34_FKK
